Export Country/Territory,Import Country/Territory,Trade_Value
Afghanistan,Antigua and Barbuda,229.72
Afghanistan,Bahrain,6213.64
Afghanistan,Canada,23.51
Afghanistan,Egypt,218164.8
Afghanistan,France,1895.22
Afghanistan,Guatemala,14666.35
Afghanistan,Hong Kong SAR,4520.51
Afghanistan,India,3138.24
Afghanistan,Pakistan,65134.24
Afghanistan,Switzerland,795.06
Afghanistan,Thailand,130.4
Afghanistan,Uganda,19.52
Afghanistan,United Arab Emirates,98731.37000000001
Albania,Austria,3539.46
Albania,Bahrain,2395.36
Albania,Belgium,32854.38
Albania,Bosnia and Herzegovina,16510.76
Albania,Côte d'Ivoire,264.62
Albania,Egypt,10200.24
Albania,France,785556.65
Albania,Germany,40332.6
Albania,Hong Kong SAR,124018.40000000001
Albania,Italy,1352.57
Albania,Lithuania,2.15
Albania,Macao SAR,126171.45
Albania,"Macedonia, North",24342.39
Albania,Malaysia,174415.72
Albania,Montenegro,8644.51
Albania,Norway,342633.32
Albania,"Other Europe, nes.",35131.96
Albania,Poland,66435.99
Albania,Qatar,1552.22
Albania,Senegal,10527.02
Albania,Spain,1378.6599999999999
Albania,Switzerland,62.92
Albania,United Arab Emirates,8.92
Algeria,France,7378.73
Algeria,Ghana,43.46
Algeria,Hong Kong SAR,2161168.83
Algeria,Ireland,298.65
Algeria,Italy,313028.8
Algeria,Lebanon,60.79
Algeria,Mali,1561.05
Algeria,Mauritania,8920.1
Algeria,Qatar,156.16
Algeria,Saudi Arabia,303.7
Algeria,Senegal,1594.58
Algeria,South Africa,86121.58
Algeria,Switzerland,1578.1
Algeria,United Arab Emirates,284.75
Algeria,United States,114751.38
American Samoa,Angola,104100.4
American Samoa,Bangladesh,16412.16
American Samoa,Canada,3.32
American Samoa,Cook Islands,202.08
American Samoa,Fiji,24.52
American Samoa,Hong Kong SAR,26847.42
American Samoa,Indonesia,3299.02
American Samoa,Iran,348420.27
American Samoa,Ireland,11062.2
American Samoa,New Zealand,341.25
American Samoa,Seychelles,37.2
American Samoa,South Korea,23457.329999999998
American Samoa,St Kitts and Nevis,25.880000000000003
American Samoa,Sudan,67465.0
American Samoa,Tonga,49715.05
American Samoa,Western Samoa,307144.46
Andorra,Botswana,134.87
Andorra,Côte d'Ivoire,393.56
Andorra,El Salvador,32835.18
Andorra,France,93869.17
Andorra,"Gambia, The",299.28
Andorra,Ghana,993.18
Andorra,Guyana,4483.0
Andorra,Hong Kong SAR,291417.29
Andorra,Malaysia,11921.14
Andorra,Mozambique,809.12
Andorra,Namibia,115.8
Andorra,Nigeria,1023727.84
Andorra,Seychelles,23319.170000000002
Andorra,South Korea,93351.46
Andorra,Spain,1484649.27
Andorra,Switzerland,10792.710000000001
Andorra,Zambia,299.48
Angola,"Congo, D.R.",485186.88
Angola,"Congo, Republic of the",1755.76
Angola,Ghana,42.52
Angola,Japan,6082.8
Angola,Liberia,1676.01
Angola,Marshall Islands,3650.7599999999998
Angola,Namibia,4967.25
Angola,Paraguay,292885.6
Angola,Seychelles,1842.57
Angola,São Tomé and Príncipe,2110.44
Angola,Ukraine,16866.67
