Export Country/Territory,Import Country/Territory,Trade_Value
Afghanistan,United Arab Emirates,1228456.0
Albania,France,13215466.85
Albania,Germany,215781.59
Albania,Norway,1995400.37
Algeria,Mali,4662.36
American Samoa,New Zealand,34319.93
American Samoa,Western Samoa,35842.11
Andorra,France,2045.56
Andorra,Spain,140241.36
Angola,"Congo, D.R.",130008.6
Angola,Marshall Islands,29862.15
Angola,Namibia,201.55
Angola,Poland,27.43
Antigua and Barbuda,British Virgin Islands,6551.05
Antigua and Barbuda,Grenada,364847.11
Antigua and Barbuda,Mauritius,9710.48
Antigua and Barbuda,Montserrat,21552.03
Antigua and Barbuda,Senegal,5746.7699999999995
Antigua and Barbuda,Turkey,896.01
Argentina,Aruba,2230774.67
Argentina,Austria,10894560.450000001
Argentina,Brazil,439872548.91
Argentina,Bulgaria,16478.82
Argentina,Chile,216305104.07999998
Argentina,China (mainland),29945335672.96
Argentina,Colombia,5595312.0
Argentina,Curacao,6793184.73
Argentina,Côte d'Ivoire,117818.72
Argentina,Denmark,1083356.98
Argentina,Ecuador,1886277.03
Argentina,France,5397623.79
Argentina,Georgia,13410339.17
Argentina,Germany,270526489.57
Argentina,Greece,106421276.85
Argentina,Hong Kong SAR,578681720.52
Argentina,Ireland,416980.67
Argentina,Israel,1465592281.01
Argentina,Italy,10145486.799999999
Argentina,Japan,6555092.84
Argentina,Netherlands,133444757.07000001
Argentina,Norway,7170516.6
Argentina,Paraguay,28456869.28
Argentina,Peru,58322407.37
Argentina,Portugal,63578155.99
Argentina,Russia,148825052.89
Argentina,Singapore,688904.01
Argentina,South Korea,85373823.46
Argentina,Spain,6644148.26
Argentina,Sweden,126.57000000000001
Argentina,Thailand,132584639.61
Argentina,Turkey,2550428.19
Argentina,United Kingdom,14301653.64
Argentina,United States,1168781529.37
Argentina,Uruguay,51940231.18
Armenia,Bahrain,2936.77
Armenia,Georgia,12370032.38
Armenia,Kazakhstan,89641.53
Armenia,Kyrgyzstan,829825.4800000001
Armenia,Russia,2018010.7
Armenia,United Arab Emirates,29481.41
Aruba,Curacao,105029.48
Australia,American Samoa,5914532.34
Australia,Angola,22964392.86
Australia,Austria,1224969.03
Australia,Bahrain,14500066.83
Australia,Belgium,5352805.53
Australia,Brazil,139561290.43
Australia,Brunei,135640072.34
Australia,Cambodia,16298946.99
Australia,Canada,447049646.19
Australia,China (mainland),9619122250.91
Australia,Christmas Island,3647490.04
Australia,Cocos (Keeling) Islands,1246977.97
Australia,Côte d'Ivoire,2009078.75
Australia,Denmark,2864335.0100000002
Australia,East Timor,871814.9199999999
Australia,Egypt,82170351.62
Australia,Fiji,54677563.88
Australia,France,2294254.9
Australia,French Polynesia,29255809.95
Australia,Germany,18349644.17
Australia,Guam,12491788.51
Australia,Hong Kong SAR,147599485.07999998
Australia,Indonesia,3082873757.18
Australia,Ireland,629603.18
Australia,Israel,341938410.89
Australia,Italy,3412333.21
